
project<,>/ˈprɒdʒekt/<,>/ˈprɑːdʒekt/<,>n.工程/n.课题/n.作业<,>The new highway project will start next month.<,>新的高速公路工程将于下个月开工。<,>Our group is working on a science project.<,>我们小组正在做一个科学课题。<,>She spent all weekend finishing her art project.<,>她花了整个周末完成她的美术作业。<,>pro(向前)+ject(投掷)→向前投→规划的项目<,>reject(v.拒绝)/inject(v.注射)/object(n.物体)

stem<,>/stem/<,>/stem/<,>n.茎/n.（树）干/v.起源<,>Cut the stem of the flower at an angle.<,>斜着剪断花茎。<,>The problem stems from poor communication.<,>这个问题源于沟通不畅。<,>Maple syrup comes from the sap of the tree stem.<,>枫糖浆来自树干的汁液。<,>ste(站立)+m→植物站立的部分→茎干<,>steam(n.蒸汽/v.蒸)/stamp(n.邮票/v.跺脚)  

margin<,>/ˈmɑːdʒɪn/<,>/ˈmɑːrdʒɪn/<,>n.页边的空白/n.边缘/n.边缘<,>Write your notes in the margin of the book.<,>把你的笔记写在书的页边空白处。<,>They won by a narrow margin.<,>他们以微弱优势获胜。<,>The house stands on the margin of the lake.<,>房子坐落在湖边。<,>marg(标记)+in→标记的区域→边缘<,>marine(adj.海洋的/n.舰队)/marginal(adj.边缘的/adj.微小的)  

core<,>/kɔː(r)/<,>/kɔːr/<,>n.果实的心/n.核心<,>Remove the core before eating the apple.<,>吃苹果前去掉果核。<,>This is the core issue we need to address.<,>这是我们需要解决的核心问题。<,>The Earth's core is extremely hot.<,>地核非常热。<,>cor(心)+e→中心部分→核心<,>corn(n.玉米)/cord(n.绳索)/corps(n.军团)  

correspondent<,>/ˌkɒrəˈspɒndənt/<,>/ˌkɔːrəˈspɑːndənt/<,>n.通讯员/n.通信者<,>He works as a foreign correspondent for CNN.<,>他是CNN的驻外记者。<,>They have been regular correspondents for years.<,>他们多年来一直保持通信。<,>The newspaper sent a correspondent to cover the event.<,>报社派记者去报道这个事件。<,>cor(共同)+respond(回应)+ent→互相回应的人→通信者<,>respondent(n.应答者)/corresponding(adj.相应的)  

possibly<,>/ˈpɒsəbli/<,>/ˈpɑːsəbli/<,>adv.可能地/adv.也许<,>Could you possibly help me with this?<,>你能帮我这个忙吗？<,>It may possibly rain tomorrow.<,>明天可能会下雨。<,>She is possibly the best candidate for the job.<,>她可能是这个职位的最佳人选。<,>poss(能力)+ibly→有能力地→可能地<,>possible(adj.可能的)/impossibly(adv.不可能地)  

roll<,>/rəʊl/<,>/roʊl/<,>v.滚动/v.转动<,>The ball rolled down the hill.<,>球滚下了山坡。<,>She rolled the dough flat.<,>她把面团擀平。<,>Tears rolled down her cheeks.<,>泪水顺着她的脸颊滚落。<,>rol(轮子)+l→像轮子一样运动→滚动<,>role(n.角色)/poll(n.投票/v.获得选票)  

repair<,>/rɪˈpeə(r)/<,>/rɪˈper/<,>v.修理/n.修理/v.修补/n.修补<,>He repaired the broken window.<,>他修理了破碎的窗户。<,>The car is in the garage for repairs.<,>汽车在修理厂维修。<,>She repaired the torn dress skillfully.<,>她熟练地修补了撕破的裙子。<,>re(重新)+pair(准备)→重新准备好→修理<,>prepare(v.准备)/repairman(n.修理工)
moral<,>/ˈmɒrəl/<,>/ˈmɔːrəl/<,>adj.道德的/adj.合乎道德的<,>He made a moral decision to return the lost wallet.<,>他做出了道德的决定，归还了丢失的钱包。<,>The story teaches a moral lesson about honesty.<,>这个故事教会了关于诚实的道德课。<,>She is known for her strong moral principles.<,>她以强烈的道德原则而闻名。<,>mor(习俗)+al(形容词后缀)→符合习俗的→道德的<,>morale(n.士气)/morality(n.道德)/immoral(adj.不道德的)

broken<,>/ˈbrəʊkən/<,>/ˈbroʊkən/<,>adj.被打碎的/adj.骨折的<,>Be careful with the broken glass on the floor.<,>小心地上的碎玻璃。<,>He suffered a broken leg in the accident.<,>他在事故中腿部骨折。<,>The toy was broken beyond repair.<,>这个玩具坏得无法修理了。<,>break(打破)+en(过去分词)→被打碎的<,>break(v.打破)/brake(n.刹车)/broke(adj.破产的)

steer<,>/stɪə(r)/<,>/stɪr/<,>v.驾驶<,>He learned how to steer a boat at summer camp.<,>他在夏令营学会了如何驾驶船只。<,>She carefully steered the car through the narrow alley.<,>她小心地驾驶汽车穿过狭窄的小巷。<,>The captain steered the ship away from the storm.<,>船长驾驶船只远离风暴。<,>st(站立)+eer(人)→站立驾驶的人→驾驶<,>steel(n.钢铁)/stereo(n.立体声)/stern(adj.严厉的)

wax<,>/wæks/<,>/wæks/<,>n.蜡/n.蜂蜡<,>She used wax to seal the envelope.<,>她用蜡封住了信封。<,>The candle is made of beeswax.<,>这支蜡烛是用蜂蜡制成的。<,>He applied wax to the wooden table for protection.<,>他给木桌打蜡以作保护。<,>w(形状像波浪)+ax(斧头)→斧头砍波浪状的蜡<,>wane(v.减弱)/wan(adj.苍白的)/wax(v.增大)

centimetre<,>/ˈsentɪmiːtə(r)/<,>/ˈsɛntəˌmitər/<,>n.公分/n.厘米<,>The ruler is 30 centimetres long.<,>这把尺子有30厘米长。<,>She grew two centimetres taller this year.<,>她今年长高了两厘米。<,>The gap must be less than one centimetre.<,>缝隙必须小于一厘米。<,>centi(百分之一)+metre(米)→百分之一米→厘米<,>millimeter(n.毫米)/kilometer(n.千米)/century(n.世纪)

gaseous<,>/ˈɡæsiəs/<,>/ˈɡæsiəs/<,>adj.气体的/adj.气态的<,>Water becomes gaseous at 100°C.<,>水在100摄氏度时变成气态。<,>The laboratory studies gaseous reactions.<,>这个实验室研究气体反应。<,>Jupiter is mainly composed of gaseous elements.<,>木星主要由气态元素组成。<,>gas(气体)+eous(形容词后缀)→气体的<,>gas(n.气体)/liquid(adj.液态的)/solid(adj.固体的)

equal<,>/ˈiːkwəl/<,>/ˈikwəl/<,>adj.相等的/adj.平等的<,>All men are created equal.<,>人人生而平等。<,>Divide the cake into equal parts.<,>把蛋糕分成相等的几份。<,>They have equal rights in this matter.<,>他们在这件事上有平等的权利。<,>equ(平等)+al(形容词后缀)→平等的<,>equate(v.等同)/equality(n.平等)/inequality(n.不平等)

lecture<,>/ˈlektʃə(r)/<,>/ˈlɛktʃər/<,>n.演讲/n.讲课/v.演讲/v.讲课<,>The professor gave a lecture on quantum physics.<,>教授做了一个关于量子物理的演讲。<,>She lectures at the university twice a week.<,>她每周在大学讲课两次。<,>I attended an interesting lecture about ancient history.<,>我参加了一个关于古代历史的有趣讲座。<,>lect(读)+ure(名词后缀)→读出来的内容→演讲<,>lecturer(n.讲师)/lectern(n.讲台)/legacy(n.遗产)

recommendation<,>/ˌrekəmenˈdeɪʃn/<,>/ˌrɛkəmənˈdeɪʃən/<,>n.推荐/n.介绍/n.劝告<,>I got the job based on my teacher's recommendation.<,>我得到了这份工作是基于老师的推荐。<,>Do you have any restaurant recommendations?<,>你有什么餐厅推荐吗？<,>The doctor's recommendation was to rest for a week.<,>医生的建议是休息一周。<,>re(再次)+commend(称赞)+ation(名词后缀)→再次称赞→推荐<,>commend(v.称赞)/recommend(v.推荐)/command(v.命令)

bleed<,>/bliːd/<,>/blid/<,>v.出血/v.流血<,>His nose started to bleed after the accident.<,>事故后他的鼻子开始流血。<,>The wound is still bleeding slightly.<,>伤口还在轻微出血。<,>She nearly fainted when she saw the blood bleeding.<,>看到流血她差点晕倒。<,>b(不)+leed(lead领导)→不受领导控制→流血<,>breed(v.繁殖)/bleak(adj.荒凉的)/blend(v.混合)
kid<,>/kɪd/<,>/kɪd/<,>n.小孩/n.儿童/n.少年<,>The kid is playing in the park.<,>那个小孩正在公园里玩耍。<,>She has two kids, a boy and a girl.<,>她有两个孩子，一个男孩和一个女孩。<,>He was just a kid when he started acting.<,>他开始演戏时还是个少年。<,>联想：kind(善良的) + id(身份证)→善良的小孩<,>kitten(n.小猫)/kind(n.种类/adj.善良的)  

become<,>/bɪˈkʌm/<,>/bɪˈkʌm/<,>v.变得/v.变成/v.成为<,>She wants to become a doctor.<,>她想成为一名医生。<,>The weather became colder.<,>天气变得更冷了。<,>He became famous overnight.<,>他一夜成名。<,>be(是) + come(来)→成为<,>befall(v.降临)/behave(v.表现)  

rid<,>/rɪd/<,>/rɪd/<,>v.使摆脱/v.使去掉<,>I want to rid myself of bad habits.<,>我想改掉坏习惯。<,>They rid the house of mice.<,>他们清除了屋里的老鼠。<,>It's hard to rid your mind of these thoughts.<,>很难从脑海中摆脱这些想法。<,>red(红色)去掉e→摆脱红色<,>ride(v.骑)/rigid(adj.僵硬的)  

land<,>/lænd/<,>/lænd/<,>n.土地/n.陆地/v.上岸<,>They bought a piece of land to build a house.<,>他们买了块地来建房子。<,>The plane landed safely.<,>飞机安全着陆了。<,>We'll land at the next port.<,>我们将在下一个港口上岸。<,>l(站立) + and(和)→站立的地方→陆地<,>lend(v.借出)/lane(n.小巷)  

bold<,>/bəʊld/<,>/boʊld/<,>adj.大胆的/adj.冒失的<,>He made a bold decision.<,>他做了一个大胆的决定。<,>That was a bold move.<,>那是个冒失的举动。<,>She wore a bold red dress.<,>她穿了一件鲜艳的红裙子。<,>b(不) + old(老的)→不老的心态→大胆的<,>bald(adj.秃头的)/bond(n.债券)  

prison<,>/ˈprɪzn/<,>/ˈprɪzən/<,>n.监狱/n.监禁<,>He was sent to prison for theft.<,>他因盗窃入狱。<,>The prison has high walls.<,>监狱有高墙。<,>She visited her brother in prison.<,>她去监狱探望弟弟。<,>pri(首要) + son(儿子)→首要任务是看管犯人<,>poison(n.毒药)/person(n.人)  

modest<,>/ˈmɒdɪst/<,>/ˈmɑːdɪst/<,>adj.谦虚的/adj.不太大的/adj.不很贵的<,>She is modest about her achievements.<,>她对自己的成就很谦虚。<,>They live in a modest house.<,>他们住在一栋不大的房子里。<,>The price is quite modest.<,>价格相当实惠。<,>mode(模式) + st(街道)→谦虚的生活方式<,>modern(adj.现代的)/moist(adj.潮湿的)  

leather<,>/ˈleðə(r)/<,>/ˈleðər/<,>n.皮革/n.皮革制品<,>He wears a leather jacket.<,>他穿着一件皮夹克。<,>The sofa is made of genuine leather.<,>沙发是真皮制作的。<,>She bought a leather handbag.<,>她买了一个皮手袋。<,>lea(草地) + ther(thermos)→草地上的热水瓶皮套<,>feather(n.羽毛)/weather(n.天气)  

length<,>/leŋθ/<,>/leŋθ/<,>n.长/n.长度/n.一段<,>What's the length of the rope?<,>绳子有多长？<,>She wore her hair at shoulder length.<,>她留着齐肩长度的头发。<,>He spoke at length about his plans.<,>他详细讲述了他的计划。<,>leng(long的变体) + th(名词后缀)→长度<,>strength(n.力量)/lengthen(v.延长)  

academic<,>/ˌækəˈdemɪk/<,>/ˌækəˈdɛmɪk/<,>adj.学院的/adj.学术的<,>She has an academic degree.<,>她拥有学位。<,>This is an academic discussion.<,>这是学术讨论。<,>He works in an academic environment.<,>他在学术环境中工作。<,>academy(学院) + ic(形容词后缀)→学院的<,>economic(adj.经济的)/atomic(adj.原子的)
prosperous<,>/ˈprɒspərəs/<,>/ˈprɑːspərəs/<,>adj.繁荣的/adj.昌盛的<,>The prosperous city attracted many investors.<,>这座繁荣的城市吸引了许多投资者。<,>His business became prosperous after years of hard work.<,>经过多年的努力，他的生意变得兴旺发达。<,>The country enjoyed a prosperous economy.<,>这个国家经济繁荣。<,>pro(向前)+sper(希望)+ous→充满希望的→繁荣的<,>preposterous(adj.荒谬的)/prospect(n.前景/v.勘探)  

grammatical<,>/ɡrəˈmætɪkl/<,>/ɡrəˈmætɪkəl/<,>adj.语法上的<,>This sentence is not grammatical.<,>这个句子不符合语法规则。<,>She has a strong grasp of grammatical structures.<,>她对语法结构掌握得很好。<,>The teacher corrected the grammatical errors in my essay.<,>老师纠正了我文章中的语法错误。<,>grammar(语法)+tical→语法上的<,>gramophone(n.留声机)/graphic(adj.图形的)  

physics<,>/ˈfɪzɪks/<,>/ˈfɪzɪks/<,>n.物理学<,>He is studying physics at university.<,>他在大学学习物理学。<,>The laws of physics explain natural phenomena.<,>物理定律解释了自然现象。<,>Quantum physics is a challenging subject.<,>量子物理学是一门具有挑战性的学科。<,>phys(自然)+ics(学科)→研究自然的学科→物理学<,>physique(n.体格)/metaphysics(n.形而上学)  

turbine<,>/ˈtɜːbaɪn/<,>/ˈtɜːrbaɪn/<,>n.叶轮机/n.汽轮机<,>The wind turbine generates electricity.<,>风力涡轮机发电。<,>They installed a new turbine in the power plant.<,>他们在发电厂安装了一台新的涡轮机。<,>The jet engine contains a high-speed turbine.<,>喷气发动机包含一个高速涡轮。<,>turb(搅动)+ine→搅动的机器→涡轮机<,>turbid(adj.浑浊的)/disturb(v.打扰)  

contempt<,>/kənˈtempt/<,>/kənˈtɛmpt/<,>n.轻蔑/n.藐视/n.受辱<,>She looked at him with contempt.<,>她轻蔑地看着他。<,>His behavior brought contempt upon himself.<,>他的行为使他蒙受羞辱。<,>The judge held the offender in contempt.<,>法官藐视违法者。<,>con(共同)+tempt(轻视)→共同轻视→轻蔑<,>tempt(v.诱惑)/contemplate(v.沉思)  

settlement<,>/ˈsetlmənt/<,>/ˈsɛtəlmənt/<,>n.解决/n.殖民地<,>The two parties reached a settlement.<,>双方达成了和解。<,>This was one of the earliest European settlements in America.<,>这是欧洲在美洲最早的殖民地之一。<,>The insurance company offered a fair settlement.<,>保险公司提出了一个公平的解决方案。<,>settle(安顿)+ment→安顿的地方→殖民地<,>settler(n.移民)/resettlement(n.重新安置)  

label<,>/ˈleɪbl/<,>/ˈleɪbəl/<,>n.标签/n.标记<,>Please read the label before taking the medicine.<,>服药前请阅读标签。<,>He labeled all the boxes clearly.<,>他清楚地标记了所有的箱子。<,>The product carries an eco-friendly label.<,>这个产品带有环保标志。<,>lab(实验室)+el→实验室里的标记→标签<,>libel(n.诽谤)/lapel(n.翻领)  

dew<,>/djuː/<,>/duː/<,>n.露/n.露水<,>The grass was wet with morning dew.<,>草上沾满了晨露。<,>Dew drops glistened on the spider's web.<,>露珠在蜘蛛网上闪闪发光。<,>The flowers were refreshed by the night dew.<,>花朵被夜露滋润。<,>d(低)+ew(水)→低处的水→露水<,>due(adj.到期的)/sew(v.缝纫)  

professor<,>/prəˈfesə(r)/<,>/prəˈfɛsər/<,>n.教授<,>The professor gave an interesting lecture.<,>教授做了一个有趣的讲座。<,>She was appointed professor of biology.<,>她被任命为生物学教授。<,>My physics professor won the Nobel Prize.<,>我的物理学教授获得了诺贝尔奖。<,>pro(向前)+fess(说)+or→在前面说话的人→教授<,>professional(adj.专业的)/confessor(n.忏悔者)  

nothing<,>/ˈnʌθɪŋ/<,>/ˈnʌθɪŋ/<,>n.没有东西/adv.毫不<,>There is nothing in the box.<,>盒子里什么也没有。<,>He said nothing about the incident.<,>他对这件事只字未提。<,>She meant nothing by her comment.<,>她的评论毫无恶意。<,>no(无)+thing(东西)→没有东西<,>noting(v.注意)/anything(pron.任何事物)
palm<,>/pɑːm/<,>/pɑːm/<,>n.手掌/n.手心<,>She held the coin in the palm of her hand.<,>她把硬币放在手掌心里。<,>The baby grasped my palm tightly.<,>婴儿紧紧抓住我的手掌。<,>He wiped his sweaty palms on his trousers.<,>他在裤子上擦了擦汗湿的手掌。<,>联想：palm(棕榈树)的叶子形状像手掌<,>calm(adj.平静的)/balm(n.香脂)/psalm(n.赞美诗)

limit<,>/ˈlɪmɪt/<,>/ˈlɪmɪt/<,>n.限度/n.限制/n.范围<,>There's a speed limit on this road.<,>这条路上有限速。<,>We must set a time limit for the project.<,>我们必须为这个项目设定时间限制。<,>Her patience has reached its limit.<,>她的耐心已经到了极限。<,>lim(界限)+it→限制<,>limited(adj.有限的)/limitation(n.限制)/preliminary(adj.初步的)

crude<,>/kruːd/<,>/kruːd/<,>adj.简陋的/adj.天然的<,>They built a crude shelter from branches.<,>他们用树枝搭了个简陋的棚子。<,>Crude oil prices are rising again.<,>原油价格再次上涨。<,>His manners were rather crude.<,>他的举止相当粗鲁。<,>crud(粗糙)+e→粗糙的→简陋的<,>rude(adj.粗鲁的)/cruel(adj.残酷的)/cruise(v.巡航)

cold<,>/kəʊld/<,>/koʊld/<,>adj.冷的/adj.冷淡的/n.冷<,>She poured herself a cup of cold water.<,>她给自己倒了杯冷水。<,>He gave me a cold stare.<,>他冷冷地看了我一眼。<,>I caught a bad cold last week.<,>上周我得了重感冒。<,>cold(寒冷)→让人想"扣"(谐音)紧衣服<,>cool(adj.凉爽的)/bold(adj.大胆的)/gold(n.黄金)

frank<,>/fræŋk/<,>/fræŋk/<,>adj.坦白的/adj.直率的<,>To be frank, I don't like your plan.<,>坦白说，我不喜欢你的计划。<,>She was frank about her feelings.<,>她坦率地表达了自己的感受。<,>Let's have a frank discussion.<,>让我们开诚布公地谈谈。<,>Frank(人名"弗兰克")通常被认为是直率的人<,>blank(adj.空白的)/flank(n.侧面)/prank(n.恶作剧)

forget<,>/fəˈɡet/<,>/fərˈɡet/<,>v.忘记/v.遗忘<,>Don't forget to call your mother.<,>别忘了给你妈妈打电话。<,>I forgot my password again.<,>我又忘记密码了。<,>He has forgotten most of his French.<,>他已经忘记大部分法语了。<,>for(否定)+get(得到)→没有得到→忘记<,>forgive(v.原谅)/forgo(v.放弃)/forgetful(adj.健忘的)

bean<,>/biːn/<,>/biːn/<,>n.豆/n.蚕豆<,>I planted some beans in my garden.<,>我在花园里种了些豆子。<,>She made a soup with black beans.<,>她用黑豆做了汤。<,>Coffee beans are actually seeds.<,>咖啡豆其实是种子。<,>bean(豆)→谐音"饼"，豆子可以做豆饼<,>lean(v.倾斜)/mean(v.意思是)/dean(n.系主任)

appear<,>/əˈpɪə(r)/<,>/əˈpɪr/<,>v.似乎/v.出现/v.来到<,>He appeared suddenly at the door.<,>他突然出现在门口。<,>She appears to be very tired.<,>她看起来非常疲惫。<,>The sun appeared from behind the clouds.<,>太阳从云层后面露出来了。<,>ap(向)+pear(出现)→出现<,>disappear(v.消失)/appeal(v.呼吁)/apparel(n.服装)

price<,>/praɪs/<,>/praɪs/<,>n.价格/n.价钱/n.代价<,>What's the price of this jacket?<,>这件夹克多少钱？<,>The price of gasoline keeps rising.<,>汽油价格不断上涨。<,>He paid a high price for his mistake.<,>他为自己的错误付出了高昂代价。<,>price(价格)→谐音"普莱斯"(常见姓氏)<,>prize(n.奖品)/pride(n.骄傲)/prime(adj.主要的)

emotion<,>/ɪˈməʊʃn/<,>/ɪˈmoʊʃn/<,>n.情感/n.感情/n.激动<,>She couldn't control her emotions.<,>她无法控制自己的情绪。<,>Love is a powerful emotion.<,>爱是一种强烈的情感。<,>His voice was full of emotion.<,>他的声音充满感情。<,>e(出)+mot(动)+ion→情感波动<,>motion(n.运动)/promotion(n.晋升)/devotion(n.奉献)
worst<,>/wɜːst/<,>/wɜːrst/<,>adj.最坏的/adv.最坏地<,>This is the worst movie I have ever seen.<,>这是我看过最糟糕的电影。<,>He behaved worst at the party.<,>他在派对上的表现最差。<,>The weather turned worst in the evening.<,>晚上天气变得最恶劣。<,>wor(战争)+st(最高级)→战争中最坏的<,>worse(adj.更坏的)/best(adj.最好的)

moan<,>/məʊn/<,>/moʊn/<,>n.呻吟声/v.呻吟<,>She let out a low moan of pain.<,>她发出一声低沉的痛苦呻吟。<,>The wind moaned through the trees.<,>风在树林中呜咽。<,>He moaned about his workload.<,>他抱怨工作量太大。<,>mo(摸)+an(一个)→摸到一个痛处→呻吟<,>groan(n./v.呻吟)/mourn(v.哀悼)

terrible<,>/ˈterəbl/<,>/ˈterəbəl/<,>adj.可怕的/adj.极度的<,>That was a terrible accident.<,>那是一场可怕的事故。<,>I have a terrible headache.<,>我头疼得厉害。<,>He's in terrible trouble.<,>他遇到了极大的麻烦。<,>terr(恐怖)+ible(可...的)→可怕的<,>horrible(adj.可怕的)/tangible(adj.可触摸的)

dollar<,>/ˈdɒlə(r)/<,>/ˈdɑːlər/<,>n.元〔美国、加拿大、澳大利亚等国的货币单位〕<,>This book costs twenty dollars.<,>这本书要二十美元。<,>She earns six dollars an hour.<,>她每小时赚六美元。<,>The dollar has fallen against the euro.<,>美元对欧元贬值了。<,>doll(玩具娃娃)+ar→像玩具娃娃一样可爱的钱<,>yuan(n.人民币元)/euro(n.欧元)

answer<,>/ˈɑːnsə(r)/<,>/ˈænsər/<,>v.回答/v.响应<,>Please answer the question.<,>请回答这个问题。<,>She answered the door.<,>她去应门。<,>No one answered my call for help.<,>没有人回应我的求助。<,>an(一个)+swer(发誓)→发誓给出一个回应<,>reply(v.回答)/respond(v.响应)

barn<,>/bɑːn/<,>/bɑːrn/<,>n.谷仓/n.牲口棚<,>We stored the hay in the barn.<,>我们把干草储存在谷仓里。<,>The cows are kept in the barn.<,>牛被关在牲口棚里。<,>They converted the old barn into a house.<,>他们把旧谷仓改造成了房子。<,>bar(酒吧)+n(门)→像酒吧门一样的谷仓门<,>barnacle(n.藤壶)/barrel(n.桶)

conclusion<,>/kənˈkluːʒn/<,>/kənˈkluːʒən/<,>n.结论/n.推论/n.结尾<,>What's your conclusion?<,>你的结论是什么？<,>He came to the wrong conclusion.<,>他得出了错误的推论。<,>The story has a happy conclusion.<,>这个故事有个圆满的结尾。<,>con(共同)+clus(关闭)+ion→共同关闭→结论<,>inclusion(n.包含)/exclusion(n.排除)

demand<,>/dɪˈmɑːnd/<,>/dɪˈmænd/<,>v.要求/v.询问/v.需要<,>They demanded higher wages.<,>他们要求更高的工资。<,>"Where is he?" she demanded.<,>"他在哪？"她质问道。<,>This work demands great patience.<,>这项工作需要极大的耐心。<,>de(向下)+mand(命令)→向下命令→要求<,>command(v.命令)/remand(v.遣回)

learn<,>/lɜːn/<,>/lɜːrn/<,>v.学/v.学习<,>Children learn quickly.<,>孩子们学得很快。<,>I'm learning to drive.<,>我正在学开车。<,>We learned that lesson the hard way.<,>我们付出了代价才学到那个教训。<,>ear(耳朵)+n(门)→打开耳朵这扇门来学习<,>teach(v.教)/study(v.学习)

rival<,>/ˈraɪvl/<,>/ˈraɪvəl/<,>n.竞争者/adj.竞争的<,>He defeated his business rival.<,>他击败了商业竞争对手。<,>The two teams are rival candidates.<,>这两支队伍是竞争候选队。<,>This product has no rival in quality.<,>这个产品在质量上无可匹敌。<,>riv(河)+al(人)→隔河相望的人→竞争者<,>rivalry(n.竞争)/arrival(n.到达)
industry<,>/ˈɪndəstri/<,>/ˈɪndəstri/<,>n.工业/n.产业/n.勤劳<,>The automobile industry is booming in this region.<,>这个地区的汽车工业正在蓬勃发展。<,>She works in the fashion industry.<,>她在时尚产业工作。<,>His success is due to his industry and perseverance.<,>他的成功归功于他的勤劳和毅力。<,>indus(内部)+try(尝试)→内部尝试→工业<,>industrial(adj. 工业的)/industrious(adj. 勤劳的)/indulge(v. 放纵)  

concern<,>/kənˈsɜːn/<,>/kənˈsɜːrn/<,>n.关心/n.挂念/n.重要的事<,>His health is our main concern.<,>他的健康是我们最关心的事。<,>This matter doesn't concern you.<,>这件事与你无关。<,>Environmental concerns are growing worldwide.<,>全球对环境问题的关注正在增加。<,>con(共同)+cern(分离)→共同分离→关心<,>concert(n. 音乐会)/discern(v. 辨别)/concerto(n. 协奏曲)  

friendly<,>/ˈfrendli/<,>/ˈfrendli/<,>adj.友好的/adj.友谊的<,>Our neighbors are very friendly.<,>我们的邻居非常友好。<,>They had a friendly chat over coffee.<,>他们边喝咖啡边友好地聊天。<,>The two countries maintain friendly relations.<,>这两个国家保持着友好关系。<,>friend(朋友)+ly(形容词后缀)→友好的<,>fiend(n. 恶魔)/friendship(n. 友谊)/unfriendly(adj. 不友好的)  

pale<,>/peɪl/<,>/peɪl/<,>adj.苍白的/adj.浅的<,>She turned pale when she heard the news.<,>听到这个消息时她脸色变得苍白。<,>The walls were painted a pale blue.<,>墙壁被漆成淡蓝色。<,>His performance was pale in comparison.<,>相比之下他的表现黯然失色。<,>联想：pail(桶)→桶里的水是浅的<,>pail(n. 桶)/peel(v. 剥皮)/pole(n. 极点)  

dramatic<,>/drəˈmætɪk/<,>/drəˈmætɪk/<,>adj.戏剧的/adj.引人注目的<,>There was a dramatic change in the weather.<,>天气发生了剧变。<,>She made a dramatic entrance in a red dress.<,>她穿着红裙引人注目地入场。<,>He's studying dramatic arts at university.<,>他在大学学习戏剧艺术。<,>drama(戏剧)+tic(形容词后缀)→戏剧的<,>dynamic(adj. 动态的)/traumatic(adj. 创伤的)/drastic(adj. 激烈的)  

rhythm<,>/ˈrɪðəm/<,>/ˈrɪðəm/<,>n.韵律/n.格律/n.节奏<,>The poem has a beautiful rhythm.<,>这首诗有优美的韵律。<,>She can't dance to the rhythm.<,>她跟不上节奏跳舞。<,>The rhythm of the rain helped me sleep.<,>雨的节奏帮助我入睡。<,>联想：rhyme(韵律)→rhythm(节奏)<,>rhyme(n. 韵律)/arithmetic(n. 算术)/rheum(n. 稀黏液)  

local<,>/ˈləʊkl/<,>/ˈloʊkl/<,>adj.地方的/adj.局部的<,>We buy our vegetables from local farmers.<,>我们从当地农民那里购买蔬菜。<,>There will be local elections next month.<,>下个月将举行地方选举。<,>She has a local anesthetic for the procedure.<,>她在手术中使用了局部麻醉。<,>loc(地方)+al(形容词后缀)→地方的<,>locale(n. 场所)/locate(v. 定位)/locust(n. 蝗虫)  

nuclear<,>/ˈnjuːkliə(r)/<,>/ˈnuːkliər/<,>adj.原子核的<,>Nuclear energy is a controversial topic.<,>核能是一个有争议的话题。<,>They are conducting nuclear research.<,>他们正在进行核研究。<,>The country has nuclear capabilities.<,>这个国家拥有核能力。<,>nucle(核)+ar(形容词后缀)→原子核的<,>nucleus(n. 核心)/nucleic(adj. 核的)/nucleon(n. 核子)  

gentleman<,>/ˈdʒentlmən/<,>/ˈdʒentlmən/<,>n.绅士/n.有教养的人<,>He behaved like a true gentleman.<,>他的举止像个真正的绅士。<,>"Ladies and gentlemen," the speaker began.<,>"女士们先生们，"演讲者开始说道。<,>He's an old-fashioned gentleman.<,>他是个老派的绅士。<,>gentle(温和的)+man(人)→绅士<,>gentlewoman(n. 淑女)/gentility(n. 文雅)/gentle(adj. 温和的)  

exactly<,>/ɪɡˈzæktli/<,>/ɪɡˈzæktli/<,>adv.确切地/adv.恰恰正是<,>That's exactly what I meant.<,>这正是我的意思。<,>The train arrived exactly on time.<,>火车准点到达。<,>Tell me exactly what happened.<,>确切地告诉我发生了什么。<,>exact(精确的)+ly(副词后缀)→确切地<,>exact(adj. 精确的)/exacting(adj. 严格的)/exaction(n. 强求)
shield<,>/ʃiːld/<,>/ʃild/<,>n.盾/n.防护物/v.保护<,>The knight raised his shield to block the attack.<,>骑士举起盾牌挡住了攻击。<,>She used her umbrella as a shield against the rain.<,>她用雨伞挡雨。<,>Parents try to shield their children from harm.<,>父母尽力保护孩子免受伤害。<,>shield音似"护ield"(护+field)→防护领域→盾牌<,>yield(v.屈服/n.产量)/field(n.领域/v.接球)  

hawk<,>/hɔːk/<,>/hɔk/<,>n.鹰/n.隼<,>A hawk circled high above the hunting ground.<,>一只鹰在猎场上空盘旋。<,>He has the sharp eyes of a hawk.<,>他有着鹰一般锐利的眼睛。<,>The hawk swooped down to catch its prey.<,>老鹰俯冲下来捕捉猎物。<,>hawk发音似"好克"→好克敌→猛禽<,>hack(v.砍劈/n.雇佣文人)/hock(n.典当/v.抵押)  

network<,>/ˈnetwɜːk/<,>/ˈnɛtˌwɝk/<,>n.网状物/n.网络<,>The spider spun an intricate network of webs.<,>蜘蛛织出了复杂的蛛网。<,>She expanded her professional network at the conference.<,>她在会议上拓展了职业人脉。<,>Our computer network crashed yesterday.<,>我们的计算机网络昨天崩溃了。<,>net(网)+work(运作)→网络运作<,>framework(n.框架)/meshwork(n.网状组织)  

